Year,Month,Day,Consumption
2012,08,20,4.42448
2012,08,21,4.37925
2012,08,22,4.44084
2012,08,23,4.46072
2012,08,24,3.69225
2012,08,25,2.52243
2012,08,26,2.59223
2012,08,27,4.29773
2012,08,28,4.30688
2012,08,29,4.37973
2012,08,30,4.45904
2012,08,31,3.92147
2012,09,01,2.62949
2012,09,02,2.59600
2012,09,03,4.45343
2012,09,04,4.45104
2012,09,05,4.44770
2012,09,06,4.50985
2012,09,07,4.00541
2012,09,08,2.77184
2012,09,09,2.77161
2012,09,10,4.63665
2012,09,11,4.67136
2012,09,12,4.70165
2012,09,13,4.81771
2012,09,14,4.42084
2012,09,15,2.90264
2012,09,16,3.01027
2012,09,17,4.59646
2012,09,18,4.68922
2012,09,19,4.76507
2012,09,20,4.64565
2012,09,21,4.25915
2012,09,22,2.68028
2012,09,23,2.92226
2012,09,24,4.93029
2012,09,25,4.82928
2012,09,26,4.71381
2012,09,27,4.22594
2012,09,28,3.94592
2012,09,29,2.81577
2012,09,30,2.61327
2012,10,01,4.86530
2012,10,02,4.91714
2012,10,03,4.90675
2012,10,04,4.71602
2012,10,05,4.34143
2012,10,06,3.13142
2012,10,07,2.95861
2012,10,08,4.88400
2012,10,09,5.51551
2012,10,10,5.70925
2012,10,11,5.54945
2012,10,12,4.95523
2012,10,13,4.61102
2012,10,14,3.80970
2012,10,15,5.70411
2012,10,16,5.47386
2012,10,17,5.37042
2012,10,18,5.83083
2012,10,19,5.41003
2012,10,20,5.17518
2012,10,21,4.08627
2012,10,22,6.04148
2012,10,23,6.15460
2012,10,24,5.96062
2012,10,25,6.16839
2012,10,26,5.68001
2012,10,27,5.18617
2012,10,28,4.00632
2012,10,29,5.18063
2012,10,30,5.80360
2012,10,31,5.99782
2012,11,01,6.08632
2012,11,02,5.26600
2012,11,03,4.48336
2012,11,04,3.56818
2012,11,05,5.73032
2012,11,06,6.05263
2012,11,07,6.11994
2012,11,08,5.85214
2012,11,09,5.76689
2012,11,10,4.70771
2012,11,11,3.74895
2012,11,12,6.22111
2012,11,13,6.19217
2012,11,14,5.40652
2012,11,15,5.40593
2012,11,16,5.68958
2012,11,17,5.22403
2012,11,18,3.84141
2012,11,19,5.56530
2012,11,20,5.53241
2012,11,21,5.81775
2012,11,22,5.60580
2012,11,23,5.13745
2012,11,24,4.40408
2012,11,25,3.81017
2012,11,26,5.78851
2012,11,27,5.90180
2012,11,28,6.05437
