Year,Month,Day,Consumption
2013,08,21,3.83614
2013,08,22,3.73052
2013,08,23,3.48918
2013,08,24,2.33403
2013,08,25,1.92373
2013,08,26,4.01135
2013,08,27,4.05932
2013,08,28,4.05728
2013,08,29,4.14523
2013,08,30,3.95775
2013,08,31,2.11696
2013,09,01,1.98102
2013,09,02,4.14905
2013,09,03,4.21546
2013,09,04,4.05554
2013,09,05,4.25673
2013,09,06,3.58805
2013,09,07,1.68022
2013,09,08,1.99565
2013,09,09,4.25881
2013,09,10,4.35734
2013,09,11,4.16532
2013,09,12,4.03021
2013,09,13,3.62951
2013,09,14,2.06761
2013,09,15,1.72297
2013,09,16,4.28166
2013,09,17,4.32021
2013,09,18,4.04439
2013,09,19,4.17506
2013,09,20,3.76739
2013,09,21,2.21248
2013,09,22,2.11938
2013,09,23,4.14792
2013,09,24,4.18216
2013,09,25,4.20063
2013,09,26,4.34217
2013,09,27,4.19128
2013,09,28,3.07240
2013,09,29,2.88755
2013,09,30,4.35131
2013,10,01,4.27695
2013,10,02,4.48832
2013,10,03,5.00637
2013,10,04,4.14362
2013,10,05,1.94686
2013,10,06,2.59964
2013,10,07,4.52091
2013,10,08,4.53115
2013,10,09,4.53397
2013,10,10,4.82469
2013,10,11,4.65796
2013,10,12,3.55561
2013,10,13,3.06281
2013,10,14,5.03591
2013,10,15,5.37729
2013,10,16,5.12757
2013,10,17,5.32943
2013,10,18,4.78523
2013,10,19,3.79817
2013,10,20,3.25020
2013,10,21,5.58279
2013,10,22,5.43173
2013,10,23,4.63389
2013,10,24,4.63835
2013,10,25,4.52817
2013,10,26,2.79660
2013,10,27,2.37677
2013,10,28,4.91002
2013,10,29,5.03179
2013,10,30,4.95256
2013,10,31,5.15921
2013,11,01,4.44541
2013,11,02,3.21500
2013,11,03,3.07295
2013,11,04,5.30040
2013,11,05,5.38841
2013,11,06,5.33679
2013,11,07,5.54433
2013,11,08,4.97831
2013,11,09,3.48109
2013,11,10,3.25644
2013,11,11,5.77503
2013,11,12,5.47515
2013,11,13,5.49407
2013,11,14,5.55244
2013,11,15,5.03799
2013,11,16,3.84725
2013,11,17,3.22460
2013,11,18,5.50577
2013,11,19,5.55909
2013,11,20,5.76589
2013,11,21,5.55241
2013,11,22,5.29143
2013,11,23,3.46634
2013,11,24,3.27871
2013,11,25,5.95420
2013,11,26,5.96101
2013,11,27,5.48395
2013,11,28,5.37273
2013,11,29,4.72589
2013,11,30,3.76943
2013,12,01,3.11371
2013,12,02,5.82854
2013,12,03,5.66054
2013,12,04,5.48962
2013,12,05,5.85295
2013,12,06,4.99270
2013,12,07,4.53260
2013,12,08,3.86921
2013,12,09,5.92777
2013,12,10,5.87651
2013,12,11,5.59498
2013,12,12,5.71793
2013,12,13,5.13472
2013,12,14,4.34866
2013,12,15,2.98850
2013,12,16,5.63759
2013,12,17,5.51187
2013,12,18,5.41890
2013,12,19,5.41456
2013,12,20,4.89601
2013,12,21,3.83628
2013,12,22,3.30281
2013,12,23,4.67389
2013,12,24,3.29553
2013,12,25,3.60864
2013,12,26,3.52974
2013,12,27,4.07392
2013,12,28,3.31531
2013,12,29,3.08366
2013,12,30,4.58113
2013,12,31,4.13906
2014,01,01,3.35660
2014,01,02,4.91833
2014,01,03,4.42485
2014,01,04,3.35454
2014,01,05,2.89199
2014,01,06,3.73328
2014,01,07,5.50496
2014,01,08,5.24692
2014,01,09,5.26992
2014,01,10,4.83797
2014,01,11,4.01262
2014,01,12,4.19320
2014,01,13,6.26555
2014,01,14,6.51852
2014,01,15,5.99629
2014,01,16,5.93868
2014,01,17,5.51376
2014,01,18,4.05677
2014,01,19,3.90522
2014,01,20,6.14357
2014,01,21,6.09771
2014,01,22,5.79866
2014,01,23,5.87260
2014,01,24,5.54030
2014,01,25,4.64963
2014,01,26,4.28232
2014,01,27,6.14839
2014,01,28,6.04355
2014,01,29,6.10542
2014,01,30,6.09874
2014,01,31,5.82161
2014,02,01,5.10965
2014,02,02,4.60153
2014,02,03,6.38274
2014,02,04,5.90286
2014,02,05,5.90951
2014,02,06,5.85827
2014,02,07,5.16455
2014,02,08,4.17990
2014,02,09,4.09172
2014,02,10,6.32229
2014,02,11,6.37487
2014,02,12,6.08012
2014,02,13,6.54195
2014,02,14,5.98578
2014,02,15,5.42423
2014,02,16,5.36685
2014,02,17,5.97784
2014,02,18,5.76806
2014,02,19,5.92569
2014,02,20,6.04845
2014,02,21,5.47347
2014,02,22,4.41288
2014,02,23,4.15224
2014,02,24,5.57814
2014,02,25,5.58658
2014,02,26,5.87081
2014,02,27,5.84149
2014,02,28,5.29331
2014,03,01,4.26270
2014,03,02,3.93272
2014,03,03,5.68653
2014,03,04,5.45488
2014,03,05,5.38922
2014,03,06,5.27041
2014,03,07,4.76145
2014,03,08,3.83673
2014,03,09,3.54169
2014,03,10,5.22634
2014,03,11,5.64000
2014,03,12,5.43375
