MotherCompany,DaughterCompany,PodId,Year,Month,Day,Weekday,Consumption,Temperature,Date,Consumption Kwh
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,18,6,5.76391,1.4,2/18/2012,5763.91
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,19,7,5.08061,-2,2/19/2012,5080.61
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,20,1,6.75826,2.3,2/20/2012,6758.26
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,21,2,6.77505,1.5,2/21/2012,6775.05
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,22,3,6.77247,3.2,2/22/2012,6772.47
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,23,4,6.56067,2.8,2/23/2012,6560.67
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,24,5,6.01425,1.1,2/24/2012,6014.25
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,25,6,5.75255,-2,2/25/2012,5752.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,26,7,4.40383,-3.4,2/26/2012,4403.83
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,27,1,6.5928,3.4,2/27/2012,6592.8
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,28,2,6.60051,3.9,2/28/2012,6600.51
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,29,3,6.35088,3.7,2/29/2012,6350.88
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,1,4,6.43809,3.8,3/1/2012,6438.09
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,2,5,5.94278,0.1,3/2/2012,5942.78
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,3,6,5.2137,-2.9,3/3/2012,5213.7
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,4,7,4.79564,-3.9,3/4/2012,4795.64
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,5,1,6.72014,-4.4,3/5/2012,6720.14
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,6,2,7.13923,-1.8,3/6/2012,7139.23
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,7,3,7.07808,0,3/7/2012,7078.08
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,8,4,7.06292,3.1,3/8/2012,7062.92
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,9,5,6.43291,5.3,3/9/2012,6432.91
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,10,6,5.62779,3.7,3/10/2012,5627.79
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,11,7,4.8804,7.4,3/11/2012,4880.4
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,12,1,6.35424,6.4,3/12/2012,6354.24
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,13,2,6.32405,1.1,3/13/2012,6324.05
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,14,3,6.60214,3.5,3/14/2012,6602.14
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,15,4,6.54445,4.6,3/15/2012,6544.45
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,16,5,6.17789,4.7,3/16/2012,6177.89
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,17,6,5.31196,4,3/17/2012,5311.96
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,18,7,4.46773,1.3,3/18/2012,4467.73
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,19,1,6.82723,1.9,3/19/2012,6827.23
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,20,2,6.80728,8.1,3/20/2012,6807.28
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,21,3,6.59365,9.4,3/21/2012,6593.65
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,22,4,5.98603,7.5,3/22/2012,5986.03
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,23,5,5.8297,7.6,3/23/2012,5829.7
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,24,6,5.202,5.1,3/24/2012,5202
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,25,7,4.45967,6.8,3/25/2012,4459.67
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,26,1,5.85053,9.9,3/26/2012,5850.53
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,27,2,5.48978,7.4,3/27/2012,5489.78
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,28,3,5.09794,4.9,3/28/2012,5097.94
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,29,4,5.19842,2.8,3/29/2012,5198.42
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,30,5,5.06562,-0.3,3/30/2012,5065.62
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,31,6,5.66748,-0.8,3/31/2012,5667.48
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,1,7,4.46855,-0.4,4/1/2012,4468.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,2,1,6.40459,-0.4,4/2/2012,6404.59
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,3,2,6.049,1.5,4/3/2012,6049
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,4,3,5.79338,3.4,4/4/2012,5793.38
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,5,4,5.52339,0.3,4/5/2012,5523.39
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,6,5,4.84872,-1,4/6/2012,4848.72
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,7,6,4.59555,0.4,4/7/2012,4595.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,8,7,4.24752,2.7,4/8/2012,4247.52
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,9,1,4.28139,3.8,4/9/2012,4281.39
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,10,2,6.07821,6.1,4/10/2012,6078.21
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,11,3,5.80473,7.6,4/11/2012,5804.73
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,12,4,5.94815,3,4/12/2012,5948.15
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,13,5,5.40836,2.2,4/13/2012,5408.36
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,14,6,5.05229,3.6,4/14/2012,5052.29
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,15,7,4.14198,4.4,4/15/2012,4141.98
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,16,1,5.73394,2.4,4/16/2012,5733.94
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,17,2,5.59169,3.7,4/17/2012,5591.69
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,18,3,5.86018,5.6,4/18/2012,5860.18
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,19,4,5.71038,2.2,4/19/2012,5710.38
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,20,5,5.3058,4.4,4/20/2012,5305.8
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,21,6,4.50273,5,4/21/2012,4502.73
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,22,7,4.08185,6.2,4/22/2012,4081.85
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,23,1,5.49791,7.4,4/23/2012,5497.91
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,24,2,5.76401,8.1,4/24/2012,5764.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,25,3,5.61247,8.4,4/25/2012,5612.47
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,26,4,5.64357,10.9,4/26/2012,5643.57
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,27,5,4.92507,11.5,4/27/2012,4925.07
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,28,6,3.86761,8.9,4/28/2012,3867.61
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,29,7,3.66055,8.4,4/29/2012,3660.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,4,30,1,4.82101,9,4/30/2012,4821.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,1,2,3.82165,11.6,5/1/2012,3821.65
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,2,3,5.36802,7.9,5/2/2012,5368.02
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,3,4,5.31189,6.8,5/3/2012,5311.89
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,4,5,4.59099,8.5,5/4/2012,4590.99
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,5,6,2.98201,7.5,5/5/2012,2982.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,6,7,2.67323,7.8,5/6/2012,2673.23
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,7,1,5.01098,8.6,5/7/2012,5010.98
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,8,2,4.60343,9,5/8/2012,4603.43
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,9,3,4.80607,13,5/9/2012,4806.07
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,10,4,4.61262,14.1,5/10/2012,4612.62
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,11,5,4.101,8.5,5/11/2012,4101
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,12,6,2.71123,9,5/12/2012,2711.23
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,13,7,2.29782,10.6,5/13/2012,2297.82
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,14,1,4.63155,12.5,5/14/2012,4631.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,15,2,4.54476,10,5/15/2012,4544.76
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,16,3,4.55765,11.4,5/16/2012,4557.65
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,17,4,2.77632,10.9,5/17/2012,2776.32
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,18,5,3.76884,12.3,5/18/2012,3768.84
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,19,6,2.78718,15.1,5/19/2012,2787.18
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,20,7,2.1574,14.6,5/20/2012,2157.4
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,21,1,4.51817,14.2,5/21/2012,4518.17
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,22,2,4.60101,14.8,5/22/2012,4601.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,23,3,4.60626,17.1,5/23/2012,4606.26
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,24,4,4.62533,18.3,5/24/2012,4625.33
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,25,5,4.47439,15.1,5/25/2012,4474.39
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,26,6,3.6383,16.2,5/26/2012,3638.3
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,27,7,2.99781,12.3,5/27/2012,2997.81
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,28,1,4.63959,9.4,5/28/2012,4639.59
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,29,2,4.61577,8.7,5/29/2012,4615.77
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,30,3,4.70561,9.9,5/30/2012,4705.61
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,5,31,4,4.60045,6.6,5/31/2012,4600.45
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,1,5,4.05776,5.6,6/1/2012,4057.76
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,2,6,2.51708,8.2,6/2/2012,2517.08
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,3,7,2.26383,9.7,6/3/2012,2263.83
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,4,1,4.51346,11.6,6/4/2012,4513.46
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,5,2,4.47568,11.4,6/5/2012,4475.68
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,6,3,2.47822,12.7,6/6/2012,2478.22
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,7,4,4.54623,13.9,6/7/2012,4546.23
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,8,5,3.92812,12.2,6/8/2012,3928.12
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,9,6,2.36422,14.2,6/9/2012,2364.22
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,10,7,2.22813,13.6,6/10/2012,2228.13
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,11,1,4.54776,13.6,6/11/2012,4547.76
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,12,2,4.63052,14.7,6/12/2012,4630.52
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,13,3,4.59101,14.6,6/13/2012,4591.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,14,4,4.5333,14.4,6/14/2012,4533.3
